17 -> ~38 fr=36 (0.5625), cf=1.000, gamma=1.778, delta=0.246, M=-4.156e+01
57 -> ~18 fr=36 (0.5625), cf=1.000, gamma=1.778, delta=0.246, M=-4.156e+01
15 -> ~50 fr=37 (0.5781), cf=1.000, gamma=1.641, delta=0.226, M=-3.467e+01
9 -> ~48 fr=37 (0.5781), cf=0.949, gamma=1.641, delta=0.226, M=-3.467e+01
8 -> ~49 fr=49 (0.7656), cf=1.000, gamma=1.306, delta=0.179, M=-3.270e+01
2 9 18 -> 10 fr=10 (0.1562), cf=1.000, gamma=6.400, delta=0.132, M=-2.574e+01
9 12 18 -> 10 fr=10 (0.1562), cf=1.000, gamma=6.400, delta=0.132, M=-2.574e+01
9 51 -> 49 fr=13 (0.2031), cf=1.000, gamma=4.267, delta=0.156, M=-2.555e+01
9 51 -> ~8 fr=13 (0.2031), cf=1.000, gamma=4.267, delta=0.156, M=-2.555e+01
50 57 -> 51 fr=17 (0.2656), cf=0.850, gamma=3.022, delta=0.178, M=-2.499e+01
8 37 -> 29 fr=17 (0.2656), cf=1.000, gamma=2.909, delta=0.174, M=-2.468e+01
29 36 -> 37 fr=15 (0.2344), cf=1.000, gamma=3.368, delta=0.165, M=-2.444e+01
37 -> 29 fr=18 (0.2812), cf=0.947, gamma=2.756, delta=0.179, M=-2.406e+01
16 -> ~51 fr=40 (0.6250), cf=1.000, gamma=1.391, delta=0.176, M=-2.401e+01
49 50 -> 51 fr=14 (0.2188), cf=1.000, gamma=3.556, delta=0.157, M=-2.347e+01
2 18 -> 10 fr=10 (0.1562), cf=0.909, gamma=5.818, delta=0.129, M=-2.335e+01
9 15 18 -> 10 fr=10 (0.1562), cf=0.909, gamma=5.818, delta=0.129, M=-2.335e+01
51 -> 50 fr=18 (0.2812), cf=1.000, gamma=2.560, delta=0.171, M=-2.274e+01
49 -> 51 fr=14 (0.2188), cf=0.933, gamma=3.319, delta=0.153, M=-2.084e+01
8 -> ~51 fr=45 (0.7031), cf=0.918, gamma=1.278, delta=0.153, M=-2.084e+01
15 -> ~51 fr=37 (0.5781), cf=1.000, gamma=1.391, delta=0.163, M=-2.046e+01
49 90 -> 88 fr=7 (0.1094), cf=1.000, gamma=9.143, delta=0.097, M=-2.025e+01
51 90 -> 88 fr=7 (0.1094), cf=1.000, gamma=9.143, delta=0.097, M=-2.025e+01
50 90 -> 88 fr=7 (0.1094), cf=1.000, gamma=9.143, delta=0.097, M=-2.025e+01
2 9 12 -> 10 fr=10 (0.1562), cf=0.769, gamma=4.923, delta=0.125, M=-2.009e+01
9 12 15 -> 10 fr=10 (0.1562), cf=0.769, gamma=4.923, delta=0.125, M=-2.009e+01
9 84 -> 50 fr=18 (0.2812), cf=0.947, gamma=2.425, delta=0.165, M=-1.995e+01
9 50 57 -> 49 fr=13 (0.2031), cf=0.812, gamma=3.467, delta=0.145, M=-1.934e+01
9 50 57 -> ~8 fr=13 (0.2031), cf=0.812, gamma=3.467, delta=0.145, M=-1.934e+01
9 50 -> 84 fr=18 (0.2812), cf=0.900, gamma=2.400, delta=0.164, M=-1.903e+01
15 48 53 -> 47 fr=11 (0.1719), cf=0.917, gamma=4.190, delta=0.131, M=-1.901e+01
16 -> ~49 fr=40 (0.6250), cf=1.000, gamma=1.306, delta=0.146, M=-1.862e+01
16 -> 8 fr=40 (0.6250), cf=1.000, gamma=1.306, delta=0.146, M=-1.862e+01
9 57 84 -> 49 fr=12 (0.1875), cf=0.857, gamma=3.657, delta=0.136, M=-1.830e+01
9 57 84 -> ~8 fr=12 (0.1875), cf=0.857, gamma=3.657, delta=0.136, M=-1.830e+01
84 -> 50 fr=20 (0.3125), cf=0.833, gamma=2.133, delta=0.166, M=-1.784e+01
17 19 48 -> 44 fr=10 (0.1562), cf=0.769, gamma=4.476, delta=0.121, M=-1.774e+01
2 12 -> 10 fr=10 (0.1562), cf=0.667, gamma=4.267, delta=0.120, M=-1.774e+01
9 18 -> 10 fr=10 (0.1562), cf=0.667, gamma=4.267, delta=0.120, M=-1.774e+01
9 84 -> ~15 fr=18 (0.2812), cf=0.947, gamma=2.246, delta=0.156, M=-1.772e+01
9 71 -> 50 fr=15 (0.2344), cf=1.000, gamma=2.560, delta=0.143, M=-1.770e+01
19 53 -> 44 fr=8 (0.1250), cf=1.000, gamma=5.818, delta=0.104, M=-1.710e+01
9 57 -> 90 fr=14 (0.2188), cf=0.583, gamma=2.667, delta=0.137, M=-1.701e+01
9 12 -> 10 fr=10 (0.1562), cf=0.625, gamma=4.000, delta=0.117, M=-1.676e+01
2 9 15 -> 10 fr=10 (0.1562), cf=0.625, gamma=4.000, delta=0.117, M=-1.676e+01
2 9 16 -> 10 fr=10 (0.1562), cf=0.625, gamma=4.000, delta=0.117, M=-1.676e+01
2 8 9 -> 10 fr=10 (0.1562), cf=0.625, gamma=4.000, delta=0.117, M=-1.676e+01
12 16 18 -> 10 fr=10 (0.1562), cf=0.625, gamma=4.000, delta=0.117, M=-1.676e+01
9 15 -> 2 fr=16 (0.2500), cf=0.889, gamma=2.473, delta=0.149, M=-1.668e+01
15 17 53 -> 47 fr=10 (0.1562), cf=0.909, gamma=4.156, delta=0.119, M=-1.651e+01
